Key,Sample Size
GC - IAE (DNN),17
NA - CSE Generalist (No Consumption),17
NA - Specialist - HXM,17
APJ - IAE,14
LAC - Specialist - P&T,10
EMEA S - Specialist - HXM,10
EMEA N - Specialist - P&T,10
MEE - IAE,10
EMEA S - GB SE,10
EMEA S - IAE,10
EMEA S - CSE Generalist (comb) (No Consumption),7
EMEA N - IAE,7
EMEA S - IAE (No Consumption),7
NA - IAE (DNN),7
LAC - Specialist - HXM,7
NA - IAE,7
APJ - GB SE,5
NA - GB SE (No Consumption),5
NA - GB Specialist - HXM,5
LAC - GB SE,5
MEE - GB SE (No Consumption),5
LAC - IAE (DNN),5
MEE - Specialist - P&T,5
EMEA S - Specialist - P&T (No Consumption),5
NA - GB SE,5
GC - IAE,5
EMEA S - Specialist - oCFO,5
MEE - GB SE,5
NA - Specialist - DSC,5
EMEA N - CSE Generalist,5
NA - Specialist - HXM (DNN),5
GC - Specialist - P&T,5
NA - Specialist - P&T,5
LAC - CSE Generalist,5
LAC - CSE Generalist (comb),5
NA - GB Specialist - P&T,2
MEE - Specialist - oCFO,2
EMEA N - Specialist - HXM,2
APJ - Specialist - P&T,2
APJ - Specialist - CX Cloud,2
EMEA S - CSE Generalist,2
NA - Specialist - CX Cloud,2
APJ - CSE Generalist (comb),2
MEE - IAE (GAD),2
LAC - GAD,2
EMEA N - GB Specialist - P&T,2
APJ - GAD,2
EMEA N - Specialist - CX Cloud,2
LAC - GB SE (comb),2
NA - IAE (comb),2
LAC - GB Specialist - DSC,2
GC - GB SE (Cloud) (No Consumption),2
LAC - IAE,2
NA - Specialist P&T Cloud (DSM),2
EMEA N - CSE Generalist - Ireland,2
MEE - Specialist - HXM,2
LAC - IAE (GAD),2
EMEA S - Specialist - CX Cloud,2
LAC - IAE (SCP),2
NA - GAD,2
LAC - Specialist - CX Cloud,2
EMEA S - Specialist - P&T,2
EMEA S - GB Specialist - HXM,2
NA - GB Specialist - HXM (No Consumption),2
EMEA S - GB Specialist - P&T,2
GC - GAD,2
MEE - CSE Generalist,2
GC - GAD (No Consumption),2
EMEA N - GAD,2
GC - GB SE (Cloud),2
EMEA S - IAE (DNN),2
EMEA N - Specialist - DSC,2
MEE - GB Specialist - HXM,2
NA - Specialist - P&T (DNN),2
MEE - GB Specialist - P&T,2
GC - Specialist - CX Cloud,2
EMEA N - GB Specialist - HXM,2
